src,dest,path,EdgeType
CALML6-TRAN,CALML6-PROT,internal link,Gene-TRAN-Gene-PROT
CAMK1-TRAN,CAMK1-PROT,internal link,Gene-TRAN-Gene-PROT
CAMK1D-TRAN,CAMK1D-PROT,internal link,Gene-TRAN-Gene-PROT
CAMK1G-TRAN,CAMK1G-PROT,internal link,Gene-TRAN-Gene-PROT
CAMK2A-TRAN,CAMK2A-PROT,internal link,Gene-TRAN-Gene-PROT
CAMK2B-TRAN,CAMK2B-PROT,internal link,Gene-TRAN-Gene-PROT
CAMK2D-TRAN,CAMK2D-PROT,internal link,Gene-TRAN-Gene-PROT
CAMK2G-TRAN,CAMK2G-PROT,internal link,Gene-TRAN-Gene-PROT
CAMK4-TRAN,CAMK4-PROT,internal link,Gene-TRAN-Gene-PROT
CAMKK2-TRAN,CAMKK2-PROT,internal link,Gene-TRAN-Gene-PROT
CAMP-TRAN,CAMP-PROT,internal link,Gene-TRAN-Gene-PROT
CARD10-TRAN,CARD10-PROT,internal link,Gene-TRAN-Gene-PROT
CARD11-TRAN,CARD11-PROT,internal link,Gene-TRAN-Gene-PROT
CARD14-TRAN,CARD14-PROT,internal link,Gene-TRAN-Gene-PROT
CARD16-TRAN,CARD16-PROT,internal link,Gene-TRAN-Gene-PROT
CARD18-TRAN,CARD18-PROT,internal link,Gene-TRAN-Gene-PROT
CARD6-TRAN,CARD6-PROT,internal link,Gene-TRAN-Gene-PROT
CARD8-TRAN,CARD8-PROT,internal link,Gene-TRAN-Gene-PROT
CARD9-TRAN,CARD9-PROT,internal link,Gene-TRAN-Gene-PROT
CASP1-TRAN,CASP1-PROT,internal link,Gene-TRAN-Gene-PROT
CASP10-TRAN,CASP10-PROT,internal link,Gene-TRAN-Gene-PROT
CASP12-TRAN,CASP12-PROT,internal link,Gene-TRAN-Gene-PROT
CASP3-TRAN,CASP3-PROT,internal link,Gene-TRAN-Gene-PROT
CASP4-TRAN,CASP4-PROT,internal link,Gene-TRAN-Gene-PROT
